TIMESTAMP,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,AIR_INTAKE_TEMP,SPEED,THROTTLE_POS
1502914376739.0,87.0,"20,00%",1081.0,39.0,22.0,22%
1502914387827.0,87.0,"18,00%",1091.0,39.0,13.0,22%
1502914398890.0,88.0,"19,20%",1108.0,39.0,18.0,22%
1502914408964.0,89.0,"20,00%",1078.0,38.0,15.0,22%
1502914417738.0,89.0,"30,20%",1398.0,38.0,32.0,28%
1502914425767.0,90.0,"33,30%",1908.0,36.0,46.0,32%
1502914433794.0,90.0,"39,20%",2567.0,36.0,48.0,33%
1502914441799.0,90.0,"32,90%",2349.0,35.0,45.0,31%
1502914449805.0,90.0,"16,10%",2050.0,36.0,33.0,25%
1502914457810.0,91.0,"16,10%",1732.0,36.0,32.0,23%
1502914465818.0,91.0,"17,30%",1252.0,37.0,6.0,22%
1502914473836.0,91.0,"31,80%",1649.0,37.0,20.0,30%
1502914481857.0,92.0,"18,40%",1822.0,37.0,19.0,26%
1502914489863.0,93.0,"37,30%",1696.0,36.0,32.0,31%
1502914497868.0,93.0,"27,50%",1989.0,36.0,45.0,29%
1502914505884.0,94.0,"16,10%",2400.0,36.0,40.0,26%
1502914513951.0,94.0,"15,70%",2350.0,35.0,51.0,26%
1502914521996.0,93.0,"27,10%",1660.0,36.0,47.0,26%
1502914530003.0,92.0,"57,30%",1482.0,35.0,38.0,35%
1502914538012.0,91.0,"20,80%",1332.0,36.0,20.0,24%
1502914546032.0,90.0,"36,10%",989.0,36.0,0.0,26%
1502914554037.0,89.0,"31,80%",1005.0,37.0,0.0,25%
1502914562044.0,89.0,"32,90%",1006.0,38.0,0.0,25%
1502914570056.0,88.0,"32,20%",1007.0,40.0,16.0,29%
1502914578072.0,88.0,"56,10%",2241.0,42.0,38.0,35%
1502914586090.0,88.0,"17,60%",1614.0,42.0,39.0,26%
1502914594135.0,88.0,"25,90%",1132.0,41.0,8.0,24%
1502914602150.0,87.0,"31,80%",1055.0,42.0,0.0,25%
1502914610159.0,87.0,"52,20%",1009.0,43.0,14.0,31%
1502914618168.0,86.0,"40,40%",1581.0,44.0,17.0,31%
1502914626175.0,86.0,"42,40%",1392.0,44.0,20.0,29%
1502914634180.0,86.0,"29,80%",1835.0,46.0,22.0,29%
1502914642444.0,85.0,"26,30%",1146.0,45.0,0.0,24%
1502914650495.0,85.0,"50,60%",1129.0,46.0,9.0,30%
1502914658498.0,84.0,"29,40%",1102.0,47.0,3.0,25%
1502914667045.0,84.0,"27,10%",1108.0,48.0,0.0,25%
1502914675061.0,84.0,"31,40%",1012.0,48.0,0.0,25%
1502914683206.0,84.0,"31,00%",1010.0,49.0,0.0,25%
1502914691908.0,84.0,"31,40%",1003.0,50.0,0.0,25%
1502914699941.0,84.0,"31,80%",1040.0,51.0,2.0,28%
1502914707980.0,84.0,"45,50%",891.0,51.0,0.0,25%
1502914719008.0,84.0,"40,80%",1049.0,53.0,2.0,45%
1502914727145.0,84.0,"32,90%",963.0,54.0,0.0,26%
1502914735152.0,84.0,,,53.0,0.0,21%
1502914743561.0,85.0,,,53.0,0.0,28%
1502914751594.0,,,,,,28%
1502915120302.0,91.0,,,53.0,0.0,
