TIMESTAMP,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,AIR_INTAKE_TEMP,SPEED,THROTTLE_POS,Efficiency
1502902504267.0,80.0,33.3,1009.0,59.0,0.0,25,6.666666666666667
1502902512283.0,80.0,32.5,1003.0,59.0,0.0,25,6.666666666666667
1502902520291.0,80.0,32.9,995.0,59.0,0.0,25,6.666666666666667
1502902528300.0,80.0,32.5,1004.0,60.0,0.0,25,6.666666666666667
1502902536320.0,80.0,32.9,1005.0,60.0,0.0,25,6.666666666666667
1502902544348.0,81.0,32.9,1019.0,60.0,0.0,25,6.666666666666667
1502902552372.0,81.0,33.3,1002.0,61.0,0.0,25,6.666666666666667
1502902560377.0,81.0,33.3,1001.0,61.0,0.0,25,6.666666666666667
1502902568389.0,81.0,33.3,1004.0,61.0,0.0,25,6.666666666666667
1502902576403.0,81.0,32.9,1010.0,62.0,0.0,25,6.666666666666667
1502902584418.0,81.0,34.5,1008.0,62.0,0.0,26,6.666666666666667
1502902592446.0,81.0,34.5,1005.0,62.0,0.0,26,6.666666666666667
1502902600481.0,81.0,34.1,1004.0,63.0,0.0,26,6.666666666666667
1502902608491.0,81.0,34.9,998.0,63.0,0.0,26,6.666666666666667
1502902616517.0,81.0,34.9,999.0,63.0,0.0,26,6.666666666666667
1502902624545.0,81.0,37.3,1589.0,64.0,0.0,22,8.333333333333334
1502902632569.0,81.0,26.7,2955.0,65.0,0.0,32,5.0
1502902640586.0,82.0,36.9,1050.0,65.0,0.0,26,6.666666666666667
1502913547740.0,77.0,29.4,1005.0,42.0,0.0,24,3.3333333333333335
1502913555751.0,79.0,36.5,1004.0,43.0,8.0,27,5.0
1502913563760.0,79.0,31.0,1069.0,43.0,4.0,25,5.0
1502913571764.0,79.0,32.2,1034.0,44.0,0.0,25,5.0
1502913579766.0,79.0,30.2,1013.0,44.0,0.0,24,5.0
1502913587785.0,79.0,29.0,1010.0,45.0,0.0,24,3.3333333333333335
1502913595804.0,79.0,29.0,1004.0,45.0,0.0,24,3.3333333333333335
1502913603818.0,79.0,29.0,1005.0,46.0,0.0,24,3.3333333333333335
1502913611823.0,79.0,29.0,1015.0,47.0,0.0,24,3.3333333333333335
1502913619832.0,79.0,29.0,1013.0,47.0,0.0,24,3.3333333333333335
1502913627836.0,79.0,29.4,1000.0,48.0,0.0,24,3.3333333333333335
1502913635855.0,79.0,29.4,1012.0,48.0,0.0,24,3.3333333333333335
1502913643863.0,79.0,29.0,1005.0,49.0,0.0,24,3.3333333333333335
1502913651869.0,79.0,30.2,1002.0,49.0,0.0,24,5.0
1502913659892.0,79.0,29.8,999.0,50.0,0.0,24,5.0
1502913667914.0,79.0,29.8,1000.0,50.0,0.0,24,5.0
1502913675927.0,79.0,31.4,1002.0,51.0,0.0,25,6.666666666666667
1502913683947.0,79.0,30.6,1002.0,51.0,0.0,24,6.666666666666667
1502913691968.0,79.0,31.0,989.0,51.0,0.0,24,6.666666666666667
1502913699979.0,79.0,30.6,1012.0,52.0,0.0,24,6.666666666666667
1502913707982.0,79.0,30.6,1004.0,52.0,0.0,24,6.666666666666667
1502913716002.0,79.0,30.2,1004.0,52.0,0.0,24,6.666666666666667
1502913724029.0,79.0,29.8,1010.0,53.0,0.0,24,5.0
1502913732036.0,79.0,30.2,1003.0,53.0,9.0,24,6.666666666666667
1502913740053.0,79.0,25.5,1139.0,53.0,4.0,25,5.0
1502913748059.0,79.0,27.1,1124.0,53.0,0.0,24,5.0
1502913756069.0,79.0,29.8,1001.0,53.0,0.0,24,5.0
1502913764083.0,79.0,30.6,999.0,53.0,0.0,24,6.666666666666667
1502913772104.0,78.0,30.6,1005.0,53.0,0.0,24,6.666666666666667
1502913780112.0,78.0,29.8,1003.0,54.0,0.0,24,5.0
1502913788135.0,78.0,30.2,1007.0,54.0,0.0,24,6.666666666666667
1502913796156.0,78.0,30.2,1006.0,54.0,0.0,24,6.666666666666667
1502913804165.0,78.0,30.2,1015.0,55.0,0.0,24,6.666666666666667
1502913812186.0,78.0,30.2,1015.0,55.0,0.0,24,6.666666666666667
1502913820193.0,78.0,30.2,1010.0,55.0,0.0,24,6.666666666666667
1502913828198.0,78.0,30.2,998.0,55.0,0.0,24,6.666666666666667
1502913836219.0,78.0,30.2,1009.0,56.0,0.0,24,6.666666666666667
1502913844243.0,78.0,30.2,995.0,56.0,0.0,24,6.666666666666667
1502913852263.0,78.0,30.2,1007.0,56.0,0.0,24,6.666666666666667
1502913860266.0,78.0,30.2,1012.0,56.0,0.0,24,6.666666666666667
1502913868274.0,79.0,30.2,1005.0,56.0,0.0,24,6.666666666666667
1502913876283.0,79.0,29.4,995.0,57.0,0.0,24,5.0
1502913884289.0,79.0,30.2,1007.0,57.0,0.0,24,6.666666666666667
1502913892296.0,79.0,29.8,1003.0,57.0,0.0,24,5.0
1502913900305.0,78.0,30.2,1024.0,57.0,6.0,24,6.666666666666667
1502913908310.0,78.0,34.1,1072.0,57.0,5.0,26,6.666666666666667
1502913916325.0,78.0,35.7,1012.0,58.0,0.0,26,6.666666666666667
1502913924333.0,79.0,29.8,1014.0,58.0,0.0,24,5.0
1502913932338.0,79.0,30.6,1014.0,58.0,0.0,24,6.666666666666667
1502913940349.0,79.0,30.6,1017.0,58.0,0.0,24,6.666666666666667
1502913948354.0,79.0,30.2,1015.0,59.0,0.0,25,6.666666666666667
1502913956360.0,79.0,30.2,1007.0,59.0,0.0,24,6.666666666666667
1502913964366.0,79.0,30.6,994.0,59.0,0.0,24,6.666666666666667
1502913972371.0,79.0,29.8,1014.0,59.0,0.0,24,5.0
1502913980385.0,79.0,57.6,994.0,59.0,9.0,30,6.666666666666667
1502913988392.0,79.0,25.5,1162.0,59.0,0.0,24,5.0
1502913996407.0,79.0,29.4,1016.0,59.0,0.0,24,5.0
1502914004417.0,79.0,30.6,1004.0,59.0,0.0,24,6.666666666666667
1502914012443.0,79.0,31.8,1011.0,60.0,0.0,25,6.666666666666667
1502914020450.0,79.0,52.5,1064.0,60.0,5.0,30,6.666666666666667
1502914028951.0,79.0,37.6,1370.0,61.0,19.0,30,8.333333333333334
1502914036966.0,79.0,26.3,1302.0,60.0,25.0,26,5.0
1502914045014.0,79.0,28.6,1109.0,59.0,19.0,26,5.0
1502914053017.0,79.0,24.7,1274.0,58.0,28.0,25,5.0
1502914061022.0,79.0,23.1,1293.0,57.0,23.0,25,5.0
1502914069046.0,79.0,27.5,1165.0,56.0,16.0,25,5.0
1502914077065.0,79.0,24.7,1171.0,56.0,8.0,24,5.0
1502914085113.0,79.0,18.4,1507.0,55.0,28.0,33,6.666666666666667
1502914096090.0,78.0,21.6,2208.0,54.0,25.0,29,5.0
1502914104106.0,78.0,44.7,2264.0,54.0,33.0,27,6.666666666666667
1502914112130.0,79.0,47.5,1950.0,52.0,40.0,32,8.333333333333334
1502914120139.0,80.0,36.9,1487.0,51.0,36.0,30,8.333333333333334
